,motif,score,task
0,ETS,0.00173231202643,"K562, real motif"
1,ETS,0.00685302494094,"K562, real motif"
2,ETS,0.00149504665751,"K562, real motif"
3,ETS,0.00875635445118,"K562, real motif"
4,ETS,0.000782165327109,"K562, real motif"
5,ETS,0.00795822963119,"K562, real motif"
6,ETS,0.00027699227212,"K562, real motif"
7,ETS,0.00763387931511,"K562, real motif"
8,ETS,0.000866959569976,"K562, real motif"
9,ETS,0.00421992363408,"K562, real motif"
10,ETS,0.00725916074589,"K562, real motif"
11,ETS,0.00576972262934,"K562, real motif"
12,ETS,0.00406168587506,"K562, real motif"
13,ETS,0.00567102758214,"K562, real motif"
14,ETS,0.00230075931177,"K562, real motif"
15,ETS,0.00481328321621,"K562, real motif"
16,ETS,0.00505254138261,"K562, real motif"
17,ETS,0.00260421750136,"K562, real motif"
18,ETS,0.000752946012653,"K562, real motif"
19,ETS,0.00252318079583,"K562, real motif"
20,ETS,0.0027179189492,"K562, real motif"
21,ETS,0.00285890907981,"K562, real motif"
22,ETS,0.00559046352282,"K562, real motif"
23,ETS,0.00778578175232,"K562, real motif"
24,ETS,0.00689045665786,"K562, real motif"
25,ETS,0.00716537656263,"K562, real motif"
26,ETS,0.00799969863147,"K562, real motif"
27,ETS,0.00231771008112,"K562, real motif"
28,ETS,0.00840274337679,"K562, real motif"
29,ETS,0.00862555578351,"K562, real motif"
30,ETS,0.00797343719751,"K562, real motif"
31,ETS,0.00583168724552,"K562, real motif"
32,ETS,0.00891762319952,"K562, real motif"
33,ETS,0.0108759049326,"K562, real motif"
34,ETS,0.0111557235941,"K562, real motif"
35,ETS,0.00638127140701,"K562, real motif"
36,ETS,0.00118407979608,"K562, real motif"
37,ETS,0.00466035027057,"K562, real motif"
38,ETS,0.00989839062095,"K562, real motif"
39,ETS,0.0148506602272,"K562, real motif"
40,ETS,0.00892689824104,"K562, real motif"
41,ETS,0.00349527318031,"K562, real motif"
42,ETS,0.00367951928638,"K562, real motif"
43,ETS,0.0105257704854,"K562, real motif"
44,ETS,0.00466364389285,"K562, real motif"
45,ETS,0.00119828176685,"K562, real motif"
46,ETS,0.00256501929834,"K562, real motif"
47,ETS,0.00354555645026,"K562, real motif"
48,ETS,0.00426678871736,"K562, real motif"
49,ETS,-0.000702401099261,"K562, real motif"
50,ETS,0.00141927250661,"K562, real motif"
51,ETS,0.00136347848456,"K562, real motif"
52,ETS,0.000552231736947,"K562, real motif"
53,ETS,-5.48280804651e-05,"K562, real motif"
54,ETS,0.000455925241113,"K562, real motif"
55,ETS,0.00237577687949,"K562, real motif"
56,ETS,0.00291189015843,"K562, real motif"
57,ETS,0.005144265946,"K562, real motif"
58,ETS,0.00629652710631,"K562, real motif"
59,ETS,0.00290140486322,"K562, real motif"
60,ETS,0.00171187659726,"K562, real motif"
61,ETS,0.00138808402698,"K562, real motif"
62,ETS,0.00241544703022,"K562, real motif"
63,ETS,0.00582180311903,"K562, real motif"
64,ETS,0.00694709317759,"K562, real motif"
65,ETS,0.00573628209531,"K562, real motif"
66,ETS,0.00251442403533,"K562, real motif"
67,ETS,0.00488967262208,"K562, real motif"
68,ETS,0.0059365388006,"K562, real motif"
69,ETS,0.00501898862422,"K562, real motif"
70,ETS,0.00569975655526,"K562, real motif"
71,ETS,0.0053625064902,"K562, real motif"
72,ETS,0.00463157566264,"K562, real motif"
73,ETS,0.00553780514747,"K562, real motif"
74,ETS,0.00692494073883,"K562, real motif"
75,ETS,0.00194440956693,"K562, real motif"
76,ETS,0.00425142003223,"K562, real motif"
77,ETS,0.00561015633866,"K562, real motif"
78,ETS,0.00641263090074,"K562, real motif"
79,ETS,0.010256585665,"K562, real motif"
80,ETS,0.0106411036104,"K562, real motif"
81,ETS,0.008185505867,"K562, real motif"
